Date,Q_DET_SWG,Q_DET_GEN,Q_DET_LRO,Q_DET_URO,DET_QTot,Q_BCL_GEN,Q_BCL_SWG,BCL_QTot,DET_TDG,BCL1_TDG,BCL2_TDG,BCLO_TDG
2024-03-29T20:00:00-0700,0,4849.99999995762,0,0,4849.99999995762,1829.99999988134,0,1829.99999988134,103.262372131601,102.341597796143,102.203856749311,102.066115702479
2024-03-29T21:00:00-0700,0,4629.9999999661,0,0,4629.9999999661,1829.99999988134,0,1829.99999988134,102.985899917058,102.341597796143,102.203856749311,102.066115702479
2024-03-29T22:00:00-0700,0,189.99999991242,0,0,189.99999991242,1829.99999988134,0,1829.99999988134,102.985899917058,102.341597796143,102.203856749311,101.928374655647
2024-03-29T23:00:00-0700,0,0,0,0,0,1829.99999988134,0,1829.99999988134,103.12413602433,102.341597796143,102.203856749311,101.928374655647
2024-03-30T00:00:00-0700,0,0,0,0,0,1809.99999994632,0,1809.99999994632,103.815316560686,102.341597796143,102.203856749311,101.790633608815
2024-03-30T01:00:00-0700,0,0,0,0,0,1809.99999994632,0,1809.99999994632,104.506497097042,102.203856749311,102.203856749311,101.790633608815
2024-03-30T02:00:00-0700,0,0,0,0,0,1800.00000015538,0,1800.00000015538,104.644733204313,102.203856749311,102.066115702479,101.790633608815
2024-03-30T03:00:00-0700,0,0,0,0,0,1790.0000000113,0,1790.0000000113,104.500276090558,101.925722145805,101.925722145805,101.513067400275
2024-03-30T04:00:00-0700,0,0,0,0,0,1770.00000007628,0,1770.00000007628,104.086140254003,101.925722145805,101.925722145805,101.513067400275
2024-03-30T05:00:00-0700,0,0,0,0,0,1750.00000014126,0,1750.00000014126,103.672004417449,101.925722145805,101.788170563961,101.513067400275
2024-03-30T06:00:00-0700,0,270.00000000565,0,0,270.00000000565,1750.00000014126,0,1750.00000014126,102.981778023192,101.788170563961,101.788170563961,101.375515818432
2024-03-30T07:00:00-0700,0,4699.99999991525,0,0,4699.99999991525,1750.00000014126,0,1750.00000014126,102.977667493797,101.648351648352,101.648351648352,101.236263736264
2024-03-30T08:00:00-0700,0,4810.00000008758,0,0,4810.00000008758,1770.00000007628,0,1770.00000007628,102.701957540667,101.648351648352,101.648351648352,101.236263736264
